"0","73","9018 Lara Green
Ronaldfurt, AL 96547","998.8","2020-12-10 16:58:31","2038-01-19 03:14:07"
"1","48","07432 Garcia Trafficway Suite 804
East Brianview, NC 87085","1502.6599999999999","2020-06-25 02:44:02","2038-01-19 03:14:07"
"2","3","361 Robinson Green Apt. 635
North Lynntown, NC 59694","1513.04","2020-01-11 05:58:47","2022-12-07 23:04:17.051807"
"3","89","3137 Mark Villages
Boonefurt, MS 80386","1828.17","2020-07-17 19:13:20","2038-01-19 03:14:07"
"4","69","8103 Michael Way
West Linda, ME 25927","1955.1200000000003","2019-12-31 16:10:36","2038-01-19 03:14:07"
"5","12","188 Fischer Grove
Justinchester, VT 37258","1017.8499999999999","2020-03-01 02:49:47","2038-01-19 03:14:07"
"6","43","7803 Ellis Ferry
East Austin, LA 99768","1204.19","2020-01-14 14:12:52","2022-12-07 23:04:17.051833"
"7","52","554 Victor Forest
New Rebeccaville, NE 84490","834.19","2021-05-18 23:23:45","2022-12-07 23:04:17.051839"
"8","72","9623 Darlene Vista
Boyerhaven, WV 23452","846.0400000000001","2020-02-27 20:54:20","2038-01-19 03:14:07"
"9","18","635 Valencia Drive Apt. 437
Justinberg, WI 16158","1324.2","2021-06-28 16:04:35","2038-01-19 03:14:07"
"10","40","6622 Lee Extension Apt. 148
New Melissa, NM 16412","1890.68","2020-07-14 05:10:16","2038-01-19 03:14:07"
"11","90","8564 Fernandez Vista Suite 940
West Jenniferfurt, MI 78607","1957.37","2020-04-23 21:29:36","2038-01-19 03:14:07"
"12","94","45396 Davis Road Suite 031
Virginiaville, KS 57281","767.06","2021-01-19 14:56:57","2038-01-19 03:14:07"
"13","59","53799 Sydney Parkways Apt. 735
Matthewtown, NE 99089","1358.88","2020-02-11 12:30:23","2038-01-19 03:14:07"
"14","62","57680 Weaver Route Apt. 509
Duffychester, TX 94575","1229.31","2020-02-21 13:32:02","2022-12-07 23:04:17.051880"
"15","45","11892 Howard Pass
South Kimberly, PA 24998","2757.93","2020-04-25 03:54:15","2038-01-19 03:14:07"
"16","65","725 John Summit
Wellston, HI 80342","2683.6700000000005","2020-09-08 23:47:09","2038-01-19 03:14:07"
"17","45","11892 Howard Pass
South Kimberly, PA 24998","1605.1799999999998","2020-11-19 02:19:11","2022-12-07 23:04:17.051898"
"18","1","230 Megan Junctions Suite 197
North Thomas, OK 67164","2464.48","2020-01-29 12:13:20","2038-01-19 03:14:07"
"19","21","302 Parker Plains Apt. 197
East Robertstad, CO 98152","1773.12","2020-05-22 14:44:23","2038-01-19 03:14:07"
"20","38","3412 Morris Highway
Cooperburgh, DC 92892","1335.0900000000001","2021-03-14 12:41:14","2022-12-07 23:04:17.051915"
"21","13","550 James Creek
Williamstown, MO 16920","952.95","2020-01-18 10:15:11","2022-12-07 23:04:17.051921"
"22","53","0051 Natalie Pine
Port Ashleyside, IL 78104","1478.75","2020-02-13 01:12:53","2022-12-07 23:04:17.051927"
"23","30","Unit 8666 Box 0271
DPO AA 83004","816.6699999999998","2020-01-02 19:58:35","2038-01-19 03:14:07"
"24","31","55466 Tonya Shoal Apt. 319
East Monique, NV 42401","307.28000000000003","2021-01-17 20:27:28","2022-12-07 23:04:17.051939"
"25","73","9018 Lara Green
Ronaldfurt, AL 96547","2125.73","2020-03-20 14:43:55","2022-12-07 23:04:17.051944"
"26","17","693 Erickson Lodge
Andrewberg, MS 22958","432.34","2020-01-09 12:11:53","2022-12-07 23:04:17.051950"
"27","77","7804 Hudson Hills
Amberfurt, LA 10945","1738.7100000000003","2020-03-18 13:13:32","2022-12-07 23:04:17.051956"
"28","60","2616 Donna Mountains
Alexandertown, NH 64221","1062.52","2020-07-06 18:30:46","2022-12-07 23:04:17.051962"
"29","81","2907 Madden Prairie
Lake Desireefurt, MD 53140","2454.25","2020-01-11 01:41:28","2038-01-19 03:14:07"
"30","21","302 Parker Plains Apt. 197
East Robertstad, CO 98152","1746.7500000000002","2020-11-29 23:39:21","2038-01-19 03:14:07"
"31","83","769 Deleon Flats Apt. 564
Alisonmouth, DC 43604","1549.3500000000001","2020-04-21 22:51:43","2038-01-19 03:14:07"
"32","81","2907 Madden Prairie
Lake Desireefurt, MD 53140","1117.5900000000001","2020-01-21 03:59:06","2038-01-19 03:14:07"
"33","82","3400 Ryan Springs
Michelletown, WI 80213","979.46","2020-06-04 23:26:25","2022-12-07 23:04:17.051990"
"34","38","3412 Morris Highway
Cooperburgh, DC 92892","976.1000000000001","2021-01-11 14:08:43","2022-12-07 23:04:17.051996"
"35","76","1183 Stephen Prairie Suite 402
Lake Stephaniemouth, TN 99530","713.76","2020-10-07 16:41:22","2038-01-19 03:14:07"
"36","13","550 James Creek
Williamstown, MO 16920","637.37","2021-06-02 21:03:44","2022-12-07 23:04:17.052008"
"37","82","3400 Ryan Springs
Michelletown, WI 80213","1045.84","2020-01-24 23:25:43","2038-01-19 03:14:07"
"38","56","0066 Heather Springs Apt. 563
Kaylahaven, OK 20841","986.05","2020-02-28 07:51:35","2022-12-07 23:04:17.052019"
"39","46","74632 Smith Way
East Ashleyton, MN 07618","422.07","2021-01-25 01:50:05","2022-12-07 23:04:17.052025"
"40","50","0422 Martinez Road Suite 296
Lake David, NH 41606","1660.58","2020-08-17 16:34:35","2038-01-19 03:14:07"
"41","98","1788 Roger Summit
South Dawn, TX 48780","999.5799999999999","2021-09-22 11:07:14","2038-01-19 03:14:07"
"42","90","8564 Fernandez Vista Suite 940
West Jenniferfurt, MI 78607","423.07000000000005","2020-05-13 16:38:07","2038-01-19 03:14:07"
"43","53","0051 Natalie Pine
Port Ashleyside, IL 78104","1344.87","2020-11-23 06:20:10","2022-12-07 23:04:17.052048"
"44","67","9440 Nelson Course Apt. 907
East Christopherview, VA 10193","1510.42","2020-02-03 01:29:50","2038-01-19 03:14:07"
"45","54","USCGC Roy
FPO AP 62955","1422.6100000000001","2020-07-10 20:29:55","2038-01-19 03:14:07"
"46","99","6946 James Orchard Suite 204
Port Joshua, WY 95985","530.43","2020-11-26 19:23:36","2022-12-07 23:04:17.052065"
"47","51","9516 Cook Ranch
Melissaside, AR 04391","76.7","2021-06-08 19:21:58","2022-12-07 23:04:17.052072"
"48","7","46896 Garcia Glen
Justinborough, CO 05147","1484.9399999999998","2020-06-27 08:13:57","2038-01-19 03:14:07"
"49","63","Unit 5182 Box 9799
DPO AA 69551","1268.98","2020-03-07 05:38:51","2038-01-19 03:14:07"
"50","57","521 Gibson Fields Suite 602
Tiffanyside, TN 57606","685.83","2020-05-10 05:17:39","2038-01-19 03:14:07"
"51","65","725 John Summit
Wellston, HI 80342","292.05","2022-11-24 23:04:17.052093","2038-01-19 03:14:07"
"52","33","60969 Justin Passage Suite 774
Joshuaburgh, IN 61092","3125.73","2020-05-07 06:49:26","2038-01-19 03:14:07"
